Trackingsystem	Nachverfolgungssystem	"Nachverfolgung" is the most correct translation for "tracking"
Contributed	Zur Verfügung gestellt von
aligner utility	Ausrichtungsdienstprogramm
Third-party software	Drittanbietersoftware
Spelling dictionaries	Rechtschreibwörterbücher
launch script file	Startskriptdatei
tokenizer zip package	Tokenizer Zip-Paket
non-breakable space	geschütztes Leerzeichen
Stemming	Stammformreduktion
stop word	Stoppwort
dialog	Dialogfenster
pane	Bereich
whitespace	Leerraum
translation memory	Translation Memory	maskulin
